T,X,Y
1,48.80950525916367,33
0,45.22572029576698,32
0,63.79315468636729,41
1,41.58233985920349,26
0,43.84831986187742,52
0,51.021885623537734,16
1,48.51621319458576,38
1,53.588897913118515,65
0,30.987560087608465,21
1,51.37356866433722,62
1,47.459704735542225,29
0,36.714531587062574,65
0,25.315880530666007,35
0,52.546962786993866,70
0,47.93211955503452,63
1,48.92758823382054,42
1,44.206701417660646,54
0,70.17425407916298,57
1,33.78112143177216,44
0,49.05381804942396,10
0,42.44659270988135,39
1,19.2364135542594,-16
1,51.30886971128307,56
0,30.058315733056418,39
0,61.3456533189113,70
0,62.3643380225695,71
0,55.695098330004704,55
0,57.863354779305844,75
1,43.20930057324379,55
0,60.31389180126986,68
1,63.75120427291887,64
1,66.79574152517881,69
0,68.95317254495808,64
0,28.15841603706002,4
0,54.81930408378103,61
1,13.444599508789949,36
1,64.60060566395097,69
0,40.36278309875193,35
1,54.39248845357669,51
1,43.04028106976125,36
1,55.80100460304882,51
1,60.08744663800014,96
1,33.63536070477639,18
0,42.094948697020065,48
0,45.43395731105946,40
1,61.56227650064592,58
1,46.4637354519758,50
0,47.33325612239237,53
0,84.32952936999865,122
1,12.065787336729713,36
1,58.51630331144396,81
1,51.10328826341571,62
0,61.22486280085664,42
1,63.719849646669246,61
0,68.78347343940953,55
0,36.72907098141996,25
0,67.63414221119504,53
0,57.19544312685888,43
0,41.15048848900815,54
1,62.932533777471534,64
0,27.910143106313484,27
1,59.784652975468575,65
1,47.72465052082002,53
0,70.1485532468189,48
1,40.10773906305597,64
1,43.864013103430885,21
1,44.92129276415469,59
0,44.05071971921527,68
0,28.1263723057,2
0,49.836401117480754,40
0,38.50140536488047,48
0,62.63258735483745,42
0,61.878188021267306,96
1,30.23558411992031,37
1,50.19729554836806,33
1,52.298450415700074,32
1,38.204074543822365,37
0,70.52157828701782,55
0,50.060131933003504,57
0,56.7979130653996,86
1,43.90431965103019,60
0,60.26179233990217,59
1,93.25953877663757,104
1,41.17716837290098,52
0,55.478381107639485,40
0,54.84664252083182,27
1,58.736063970103956,26
1,49.8731377069997,44
0,24.145228492889604,17
1,34.61694117849474,49
1,58.02391390623181,63
0,25.24962207763465,39
0,60.03420963596219,68
0,54.204834552556015,74
0,56.04076268996665,28
1,58.9278727201028,79
0,49.32657616782163,52
1,59.68019664623216,47
0,33.088112751606616,23
1,53.36771631099154,38
1,51.58566425314081,39
1,34.97979823934627,12
1,47.20727533185698,56
0,79.969272766531,78
1,58.58835127395848,72
1,29.469256983939328,21
1,32.63419930810761,23
1,65.98739344688832,83
1,25.175048011452947,30
0,72.15703073431459,62
0,36.007085867986454,32
0,51.956313758807376,60
1,49.53456953643611,49
1,48.68474390261398,28
0,59.26639206164419,57
0,93.28627693088416,93
1,76.3973165054135,61
0,66.369963612936,69
0,16.798090889132112,-9
1,49.64028857152093,52
1,68.55880269031077,45
1,43.157119007885996,28
1,81.87118099269676,87
0,53.611134268822994,51
0,49.120341310397464,40
0,36.8900012007879,31
0,48.158214496033565,45
0,63.676948434699625,60
1,48.38803827885822,49
0,39.087937480928325,41
0,73.93644351920628,85
0,64.81620541010624,38
1,42.67833474625307,31
0,59.44542208445353,55
0,43.19900452353351,72
0,59.13649387144901,61
1,37.21626574012271,43
1,49.1817555602729,49
1,66.36191941012217,56
1,22.304875781692466,21
0,43.813492675790116,49
1,43.76800955732532,33
1,30.47365116170385,42
0,32.9585153819,72
1,23.03543632747702,24
0,40.076645847647136,27
1,88.23928548160552,88
1,25.43486563794271,46
0,50.09476492725951,50
0,58.12568976911293,40
0,48.01849942414521,59
0,44.31895552314929,61
1,79.10934207001796,49
1,34.3718844336325,44
0,45.71609331007447,52
0,41.0161606131182,27
1,44.26489432930966,56
0,35.210287826375975,61
0,29.53285141983634,33
0,37.646998639972956,45
0,24.779197766752134,28
0,36.25670091244339,39
0,58.15441898404752,27
1,72.87293900822392,51
1,67.96126021693885,78
1,31.662420539050675,33
0,19.64354704968907,14
0,50.805676214991344,69
1,41.955644563652925,41
1,51.607138029093974,48
0,59.227282780891365,50
0,63.57598160601566,76
0,74.78878462098216,44
0,37.35770468600116,63
1,49.04892017969034,62
1,57.33580402835179,59
1,60.56803141707949,64
0,33.92396648618136,40
0,56.206379726200694,49
1,44.824620889440155,55
1,68.6028472731818,69
1,51.55143526724281,66
0,17.87222578394679,2
0,39.74524787477737,68
0,32.288029586140524,20
1,67.71503242725947,56
0,34.00917112756831,19
1,38.854311165277366,46
1,36.711121257309244,62
0,42.56272497285807,26
0,57.91081531443053,58
1,45.473729076696465,57
1,55.33466583389886,68
1,69.92198169715478,55
0,53.57111385427555,48
1,52.577882377554594,42
1,66.7515237021332,76
1,49.7946671718778,60
0,69.24364634921704,88
0,33.05043431274321,33
0,61.380821661335794,72
1,33.52093646644798,49
0,45.45643927411313,46
